AssetClass,Key,Date,High,Low,Close,Volume
equity,INE170E01023,2024-11-01,111.9411,109.5636,111.7133,268192
equity,INE170E01023,2024-11-04,112.0402,107.9786,109.2268,276316
equity,INE170E01023,2024-11-05,112.268,107.7805,111.426,287318
equity,INE170E01023,2024-11-06,113.4271,110.9604,112.9813,234899
equity,INE170E01023,2024-11-07,113.7044,110.5542,111.9015,214331
equity,INE170E01023,2024-11-08,112.486,109.9103,110.3561,103638
equity,INE170E01023,2024-11-11,111.4458,107.9786,109.8509,143791
equity,INE170E01023,2024-11-12,111.1486,107.5625,108.1371,130467
equity,INE170E01023,2024-11-13,108.1371,92.1285,95.9227,707148
equity,INE170E01023,2024-11-14,97.9237,93.8126,94.5061,481618
equity,INE170E01023,2024-11-18,95.7939,92.1285,93.1786,162250
equity,INE170E01023,2024-11-19,97.9733,93.6541,95.2787,247051
equity,INE170E01023,2024-11-21,96.0713,92.1285,94.9915,141613
equity,INE170E01023,2024-11-22,95.517,94.0295,95.1501,111418
equity,INE170E01023,2024-11-25,97.1731,95.7253,96.0327,118995
equity,INE170E01023,2024-11-26,97.1731,94.208,95.7749,121342
equity,INE170E01023,2024-11-27,98.7697,95.7848,97.54,177820
equity,INE170E01023,2024-11-28,101.3282,97.0442,100.4258,183473
equity,INE170E01023,2024-11-29,104.1247,99.7713,101.8339,265579
equity,INE170E01023,2024-12-02,106.7129,103.133,106.0088,664198
equity,INE170E01023,2024-12-03,107.9922,105.2155,105.989,294598
equity,INE170E01023,2024-12-04,106.2568,103.3809,104.0751,242817
equity,INE170E01023,2024-12-05,104.5412,102.6868,104.1941,163809
equity,INE170E01023,2024-12-06,106.108,102.7463,104.8585,184474
equity,INE170E01023,2024-12-09,107.4963,102.776,103.014,384753
equity,INE170E01023,2024-12-10,103.5198,98.9184,101.3877,402454
equity,INE170E01023,2024-12-11,103.3809,98.968,100.1779,554669
equity,INE170E01023,2024-12-12,100.5547,95.1799,98.3036,217887
equity,INE170E01023,2024-12-13,100.0886,97.2326,99.2259,136098
equity,INE170E01023,2024-12-16,103.133,97.183,100.039,561074
equity,INE170E01023,2024-12-17,102.6372,99.6622,101.5166,340263
equity,INE170E01023,2024-12-18,101.6455,98.1846,98.8887,164472
equity,INE170E01023,2024-12-19,100.6043,96.9351,99.6225,209184
equity,INE170E01023,2024-12-20,101.1993,97.183,97.3615,279310
equity,INE170E01023,2024-12-23,98.7003,94.5055,94.8725,303505
equity,INE170E01023,2024-12-24,96.1319,91.4215,93.0577,673617
equity,INE170E01023,2024-12-26,94.7435,92.9189,93.6825,125840
equity,INE170E01023,2024-12-27,95.398,93.1966,94.9121,170158
equity,INE170E01023,2024-12-30,95.4972,92.79,93.0181,145198
equity,INE170E01023,2024-12-31,95.1997,91.8975,94.7634,141703
equity,INE170E01023,2025-01-01,96.1418,93.8312,94.7634,94012
equity,INE170E01023,2025-01-02,95.7947,94.7237,95.3584,101189
equity,INE170E01023,2025-01-03,95.8443,94.5055,94.9617,118808
equity,INE170E01023,2025-01-06,95.4476,90.2513,91.0744,238283
equity,INE170E01023,2025-01-07,93.147,90.4992,91.8876,220864
equity,INE170E01023,2025-01-08,95.7451,91.5107,94.9518,248394
equity,INE170E01023,2025-01-09,95.1105,93.3255,94.327,59775
equity,INE170E01023,2025-01-10,94.803,89.9637,90.6083,204026
equity,INE170E01023,2025-01-13,91.6297,85.1343,85.9475,307006
equity,INE170E01023,2025-01-14,89.2497,86.2847,88.0696,230444
equity,INE170E01023,2025-01-15,92.195,87.2862,91.5008,260089
equity,INE170E01023,2025-01-16,93.9006,91.352,93.4147,125773
equity,INE170E01023,2025-01-17,93.7122,91.5504,92.671,103705
equity,INE170E01023,2025-01-20,94.5452,92.1256,92.8693,102889
equity,INE170E01023,2025-01-21,94.099,90.0926,90.4496,147807
equity,INE170E01023,2025-01-22,90.9355,88.0101,89.0613,100656
equity,INE170E01023,2025-01-23,90.1224,88.9126,89.4481,66220
equity,INE170E01023,2025-01-24,89.8943,88.268,88.8035,67072
equity,INE170E01023,2025-01-27,89.2497,84.7773,85.5607,148766
equity,INE170E01023,2025-01-28,88.1093,82.5857,84.5889,171531
equity,INE170E01023,2025-01-29,87.0681,84.3509,85.7095,126827
equity,INE170E01023,2025-01-30,87.0383,84.2815,84.6187,147016
equity,INE170E01023,2025-01-31,86.3739,84.936,85.2632,144999
equity,INE170E01023,2025-02-01,86.9292,83.5477,84.5492,136240
equity,INE170E01023,2025-02-03,89.2001,83.3493,88.149,255832
equity,INE170E01023,2025-02-04,89.0316,86.5821,87.6036,163554
equity,INE170E01023,2025-02-05,88.9522,84.103,85.65,218642
equity,INE170E01023,2025-02-06,87.2664,85.5607,86.0764,85269
equity,INE170E01023,2025-02-07,86.2648,84.4501,85.0153,110429
equity,INE170E01023,2025-02-10,84.9856,83.0717,83.7757,101126
equity,INE170E01023,2025-02-11,84.0038,79.8289,81.7528,262224
equity,INE170E01023,2025-02-12,82.199,77.9646,80.533,155160
equity,INE170E01023,2025-02-13,81.6337,79.3331,79.6603,85171
equity,INE170E01023,2025-02-14,80.0768,75.4259,75.9813,256553
equity,INE170E01023,2025-02-17,76.249,73.8095,75.3367,157503
equity,INE170E01023,2025-02-18,75.7135,73.3831,75.0293,254407
equity,INE170E01023,2025-02-19,78.0439,74.5632,77.3597,350938
equity,INE170E01023,2025-02-20,78.3414,75.2375,76.249,271107
equity,INE170E01023,2025-02-21,78.3414,75.3664,77.1613,232149
equity,INE170E01023,2025-02-24,76.7548,74.4739,75.8623,116866
equity,INE170E01023,2025-02-25,78.7579,74.0773,74.3847,177722
equity,INE170E01023,2025-02-27,74.7615,72.9864,73.1154,105891
equity,INE170E01023,2025-02-28,72.8278,68.4248,69.7338,287154
equity,INE170E01023,2025-03-03,71.2312,65.9952,66.4514,363057
equity,INE170E01023,2025-03-04,70.6957,65.8167,69.1884,307399
equity,INE170E01023,2025-03-05,71.3998,68.524,71.1519,313888
equity,INE170E01023,2025-03-06,74.2161,71.4989,71.7568,514206
equity,INE170E01023,2025-03-07,72.8774,71.2213,72.3419,243462
equity,INE170E01023,2025-03-10,72.7385,68.9305,69.2082,328988
equity,INE170E01023,2025-03-11,73.3732,66.967,70.4081,549656
equity,INE170E01023,2025-03-12,70.894,68.9206,69.7635,162282
equity,INE170E01023,2025-03-13,69.7536,67.5521,68.2165,166196
equity,INE170E01023,2025-03-17,69.4165,67.2844,67.4926,303799
equity,INE170E01023,2025-03-18,67.4926,67.4926,67.4926,
equity,INE170E01023,2025-03-19,72.1634,70.2098,70.656,499871
equity,INE170E01023,2025-03-20,72.7286,70.6064,70.7552,302915
equity,INE170E01023,2025-03-21,72.6889,71.2015,72.1931,434116
equity,INE170E01023,2025-03-24,74.1169,71.4989,72.0642,465040
equity,INE170E01023,2025-03-25,74.226,69.0198,69.4264,442259
equity,INE170E01023,2025-03-26,69.8825,67.5521,67.9389,378463
equity,INE170E01023,2025-03-27,69.2677,67.0365,67.2844,771516
equity,INE170E01023,2025-03-28,69.3966,65.2515,65.5688,577657
equity,INE170E01023,2025-04-01,70.3486,65.9556,69.1785,277296
equity,INE170E01023,2025-04-02,72.1832,67.4827,71.5684,351276
equity,INE170E01023,2025-04-03,72.2724,69.5156,71.4989,129876
equity,INE170E01023,2025-04-04,72.3121,68.6826,69.466,138278
equity,INE170E01023,2025-04-07,67.4232,63.8631,66.8679,310571
equity,INE170E01023,2025-04-08,69.3074,66.848,67.7505,143933
equity,INE170E01023,2025-04-09,68.0678,66.5505,67.7207,89699
equity,INE170E01023,2025-04-11,70.2098,68.4248,69.7338,123074
equity,INE170E01023,2025-04-15,72.0939,70.4081,71.251,160988
equity,INE170E01023,2025-04-16,73.1947,71.3899,72.5005,137679
equity,INE170E01023,2025-04-17,73.0658,71.7667,72.3716,125826
equity,INE170E01023,2025-04-21,75.0689,71.8956,73.988,251001
equity,INE170E01023,2025-04-22,75.2177,72.9468,74.6425,125913
equity,INE170E01023,2025-04-23,75.7631,73.6509,74.7318,123364
equity,INE170E01023,2025-04-24,76.9333,74.4343,76.2689,156915
equity,INE170E01023,2025-04-25,76.0309,71.3998,72.5005,316330
equity,INE170E01023,2025-04-28,74.2558,71.7072,73.2542,100066
equity,INE170E01023,2025-04-29,74.2756,72.8377,73.3236,70800
equity,INE170E01023,2025-04-30,74.3748,71.5981,72.0344,81624
equity,INE170E01023,2025-05-02,72.8972,71.608,71.9551,51360
equity,INE170E01023,2025-05-05,73.3732,70.9337,72.7187,67333
equity,INE170E01023,2025-05-06,72.7187,70.2197,70.5073,63091
equity,INE170E01023,2025-05-07,70.2197,68.4744,69.357,119424
equity,INE170E01023,2025-05-08,70.9535,67.4827,68.752,87724
equity,INE170E01023,2025-05-09,70.1602,65.6581,69.585,143773
equity,INE170E01023,2025-05-12,72.7782,70.3982,71.7469,177045
equity,INE170E01023,2025-05-13,73.8789,71.489,72.3121,138282
equity,INE170E01023,2025-05-14,75.5747,72.1138,75.0689,175968
equity,INE170E01023,2025-05-15,76.8539,75.1879,76.1895,119872
equity,INE170E01023,2025-05-16,77.5283,76.3779,77.0622,125908
equity,INE170E01023,2025-05-19,78.3414,76.2589,77.6076,221599
equity,INE170E01023,2025-05-20,77.9547,75.1284,75.7829,187833
equity,INE170E01023,2025-05-21,76.9531,75.0491,76.3779,75535
equity,INE170E01023,2025-05-22,80.8206,75.7036,80.057,319223
equity,INE170E01023,2025-05-23,82.2982,79.3331,80.3644,250455
equity,INE170E01023,2025-05-26,81.2073,78.4505,79.2538,241518
equity,INE170E01023,2025-05-27,80.3148,78.6389,79.1348,85220
equity,INE170E01023,2025-05-28,80.3248,78.5398,79.938,141611
equity,INE170E01023,2025-05-29,80.5231,78.5398,78.7183,74555
equity,INE170E01023,2025-05-30,79.2438,76.9233,77.4886,92508
equity,INE170E01023,2025-06-02,78.8769,76.3581,77.7861,108426
equity,INE170E01023,2025-06-03,78.8373,77.3498,78.2224,77175
equity,INE170E01023,2025-06-04,78.6191,76.7845,78.1332,54766
equity,INE170E01023,2025-06-05,81.2668,78.1728,79.1348,170350
equity,INE170E01023,2025-06-06,81.8023,78.6092,79.9083,317778
equity,INE170E01023,2025-06-09,81.7924,80.2057,80.7908,129634
equity,INE170E01023,2025-06-10,82.7841,80.7413,81.1776,222467
equity,INE170E01023,2025-06-11,84.9856,80.6123,84.46,321522
equity,INE170E01023,2025-06-12,85.2831,81.5147,82.4866,141901
equity,INE170E01023,2025-06-13,82.1296,79.5314,81.1577,97952
equity,INE170E01023,2025-06-16,81.2768,79.3331,80.2355,90332
equity,INE170E01023,2025-06-17,81.3858,78.5596,79.0951,86115
equity,INE170E01023,2025-06-18,79.8289,77.5977,79.5215,66682
equity,INE170E01023,2025-06-19,80.0173,78.1133,78.6389,117315
equity,INE170E01023,2025-06-20,81.7627,78.0043,80.4537,157131
equity,INE170E01023,2025-06-23,82.2188,78.5497,81.6437,135413
equity,INE170E01023,2025-06-24,96.6872,81.3164,87.9705,2780570
equity,INE170E01023,2025-06-25,88.5952,86.5722,88.0101,254081
equity,INE170E01023,2025-06-26,88.3374,85.5409,86.5821,149759
equity,INE170E01023,2025-06-27,91.8281,86.1756,88.744,415357
equity,INE170E01023,2025-06-30,93.6131,89.2001,91.6991,373885
equity,INE170E01023,2025-07-01,92.7106,89.4976,90.4397,125727
equity,INE170E01023,2025-07-02,90.7372,88.4762,90.3009,111333
equity,INE170E01023,2025-07-03,91.243,89.4679,90.1422,104747
equity,INE170E01023,2025-07-04,94.684,89.6365,92.9685,360398
equity,INE170E01023,2025-07-07,94.4956,90.8166,92.0065,160086
equity,INE170E01023,2025-07-08,92.4726,90.8959,91.1835,70858
equity,INE170E01023,2025-07-09,91.6694,89.8546,90.0827,107398
equity,INE170E01023,2025-07-10,90.5091,89.2497,89.934,65779
equity,INE170E01023,2025-07-11,90.2414,87.3656,88.03,117453
equity,INE170E01023,2025-07-14,89.5175,87.2664,87.4548,83513
equity,INE170E01023,2025-07-15,89.3489,87.2664,88.7142,81963
equity,INE170E01023,2025-07-16,91.6,87.7721,90.6083,164117
equity,INE170E01023,2025-07-17,90.7273,88.3771,89.0216,54885
equity,INE170E01023,2025-07-18,89.8348,88.4068,88.7836,70956
equity,INE170E01023,2025-07-21,88.6448,87.3556,87.7325,80082
equity,INE170E01023,2025-07-22,88.4663,86.4731,86.9491,77610
equity,INE170E01023,2025-07-23,87.3953,85.8781,86.4632,91987
equity,INE170E01023,2025-07-24,86.7507,84.9657,86.0169,77746
equity,INE170E01023,2025-07-25,86.4532,84.4897,85.1244,90842
equity,INE170E01023,2025-07-28,85.8979,83.7757,85.4715,119181
equity,INE170E01023,2025-07-29,85.5806,82.9229,83.8452,98749
equity,INE170E01023,2025-07-30,84.4699,82.8039,83.2601,43843
equity,INE170E01023,2025-07-31,84.9657,81.6932,84.5096,51533
equity,INE170E01023,2025-08-01,85.6698,81.6734,82.2188,103088
equity,INE170E01023,2025-08-04,84.5691,81.0586,81.3858,103794
equity,INE170E01023,2025-08-05,82.7543,81.2569,82.3378,57144
equity,INE170E01023,2025-08-06,84.7872,81.8222,83.4683,97907
equity,INE170E01023,2025-08-07,82.913,79.5017,80.652,98034
equity,INE170E01023,2025-08-08,81.5346,79.4323,80.057,50432
equity,INE170E01023,2025-08-11,81.2073,77.8555,79.8487,122400
equity,INE170E01023,2025-08-12,80.6024,78.5397,80.0173,62797
equity,INE170E01023,2025-08-13,80.6223,79.3331,79.4422,39231
equity,INE170E01023,2025-08-14,79.8785,79.0455,79.4223,26393
equity,INE170E01023,2025-08-18,80.7413,79.4223,80.1463,54055
equity,INE170E01023,2025-08-19,80.6223,79.7992,80.0868,29146
equity,INE170E01023,2025-08-20,82.1891,79.6901,81.4156,52044
equity,INE170E01023,2025-08-21,87.8217,80.8603,84.7277,150980
equity,INE170E01023,2025-08-22,84.6385,82.7047,83.0915,45639
equity,INE170E01023,2025-08-25,89.9439,82.7047,87.6036,769848
equity,INE170E01023,2025-08-26,87.0086,83.4981,84.698,129621
equity,INE170E01023,2025-08-28,84.3707,82.3081,82.4767,37195
equity,INE170E01023,2025-08-29,82.9031,80.5826,80.9693,46306
equity,INE170E01023,2025-09-01,84.2914,80.8206,83.0915,61722
equity,INE170E01023,2025-09-02,84.6881,82.2188,82.3874,52966
equity,INE170E01023,2025-09-03,83.2402,81.8122,82.3577,36413
equity,INE170E01023,2025-09-04,84.5096,82.3081,82.3973,56284
equity,INE170E01023,2025-09-05,82.8535,81.3164,81.604,40954
equity,INE170E01023,2025-09-08,84.7872,80.6917,82.4568,76931
equity,INE170E01023,2025-09-09,83.9245,82.5362,82.9824,36091
equity,INE170E01023,2025-09-10,84.2815,81.3164,82.1593,58577
equity,INE170E01023,2025-09-11,85.2831,82.0205,82.794,105062
equity,INE170E01023,2025-09-12,84.0931,82.4072,82.6849,57205
equity,INE170E01023,2025-09-15,83.4782,82.3081,82.4668,33616
equity,INE170E01023,2025-09-16,83.2997,82.3478,82.6552,46510
equity,INE170E01023,2025-09-17,85.0153,82.3081,84.1823,83435
equity,INE170E01023,2025-09-18,84.7674,82.8634,83.0816,33700
equity,INE170E01023,2025-09-19,83.6964,82.3081,82.6452,36030
equity,INE170E01023,2025-09-22,83.0419,81.4354,82.0602,50939
equity,INE170E01023,2025-09-23,82.9051,80.0124,81.1655,74489
equity,INE170E01023,2025-09-24,82.0403,80.0223,80.2013,56329
equity,INE170E01023,2025-09-25,81.1059,79.5253,79.6545,47214
equity,INE170E01023,2025-09-26,80.7977,78.5312,79.1476,74616
equity,INE170E01023,2025-09-29,80.4299,77.9348,78.2628,39784
equity,INE170E01023,2025-09-30,81.4737,78.2032,79.6943,103593
equity,INE170E01023,2025-10-01,81.4935,79.5253,80.8573,49467
equity,INE170E01023,2025-10-03,83.1934,80.2311,82.6268,110619
equity,INE170E01023,2025-10-06,83.3027,81.0164,82.1596,60120
equity,INE170E01023,2025-10-07,82.0999,80.5194,80.6188,46163
equity,INE170E01023,2025-10-08,81.414,79.5253,79.6545,40353
equity,INE170E01023,2025-10-09,80.4995,78.6803,79.406,36593
equity,INE170E01023,2025-10-10,79.9527,78.9289,79.237,40219
equity,INE170E01023,2025-10-13,79.6048,78.0044,79.4557,46791
equity,INE170E01023,2025-10-14,79.7539,77.5372,77.9547,70672
equity,INE170E01023,2025-10-15,79.3364,77.905,78.6803,46012
equity,INE170E01023,2025-10-16,79.3364,78.1336,78.4815,43661
equity,INE170E01023,2025-10-17,79.0283,77.5272,77.6465,45456
equity,INE170E01023,2025-10-20,78.7599,75.7975,76.4139,159372
equity,INE170E01023,2025-10-21,78.0342,76.553,77.7757,19411
equity,INE170E01023,2025-10-23,78.74,76.563,77.6763,105153
equity,INE170E01023,2025-10-24,78.5213,77.0401,77.3185,40208
equity,INE170E01023,2025-10-27,77.7459,76.4437,76.563,77524
equity,INE170E01023,2025-10-28,76.9109,75.549,75.9268,55063
equity,INE170E01023,2025-10-29,77.0103,75.9069,76.8612,54660
equity,INE170E01023,2025-10-30,77.4179,75.7777,76.6823,57817
equity,INE170E01023,2025-10-31,77.0203,75.9467,76.732,39686
equity,INE170E01023,2025-11-03,76.8711,75.9467,76.563,40075
equity,INE170E01023,2025-11-04,76.732,75.5987,75.7578,38439
equity,INE170E01023,2025-11-06,75.7578,74.6743,74.9625,58603
equity,INE170E01023,2025-11-07,74.6643,73.9287,74.3164,31814
equity,INE170E01023,2025-11-10,74.555,73.2627,74.3064,60023
equity,INE170E01023,2025-11-11,75.5292,74.0182,74.3164,43577
equity,INE170E01023,2025-11-12,74.9824,73.6603,74.0878,53150
equity,INE170E01023,2025-11-13,75.38,73.5609,73.8591,42981
equity,INE170E01023,2025-11-14,74.0877,69.5846,70.0916,288358
equity,INE170E01023,2025-11-17,69.9226,68.1929,68.6601,130492
equity,INE170E01023,2025-11-18,69.0677,67.7953,68.1035,60446
equity,INE170E01023,2025-11-19,73.1434,68.0339,69.6045,217554
equity,INE170E01023,2025-11-20,70.4097,68.3321,68.7993,68934
equity,INE170E01023,2025-11-21,69.3659,67.6164,68.5607,68393
equity,INE170E01023,2025-11-24,69.6145,67.7257,68.5508,64049
equity,INE170E01023,2025-11-25,69.1274,68.1432,68.4216,72685
equity,INE170E01023,2025-11-26,69.187,67.0995,67.7456,63268
equity,INE170E01023,2025-11-27,68.7297,66.9007,67.9345,65856
equity,INE170E01023,2025-11-28,68.69,66.9007,67.179,36257
equity,INE170E01023,2025-12-01,68.0935,67.0995,67.7754,72379
equity,INE170E01023,2025-12-02,67.7754,67.1989,67.6661,22099
equity,INE170E01023,2025-12-03,68.0935,67.0199,67.179,25338
equity,INE170E01023,2025-12-04,71.8113,66.6124,70.2109,438781
equity,INE170E01023,2025-12-05,69.5349,67.9444,68.7099,205631
equity,INE170E01023,2025-12-08,68.6104,64.326,68.1432,155558
equity,INE170E01023,2025-12-09,68.5906,64.6342,67.4275,111097
equity,INE170E01023,2025-12-10,68.0538,66.6124,67.1392,65787
equity,INE170E01023,2025-12-11,67.0696,66.1452,66.7714,41311
equity,INE170E01023,2025-12-12,67.4971,66.2048,66.8808,51505
equity,INE170E01023,2025-12-15,67.5965,65.6084,65.7774,102087
equity,INE170E01023,2025-12-16,66.5329,65.6084,66.0855,52737
equity,INE170E01023,2025-12-17,66.7018,64.8628,65.6084,62612
equity,INE170E01023,2025-12-18,65.6084,64.8628,65.3797,40010
equity,INE170E01023,2025-12-19,65.4692,64.7237,65.0219,48928
equity,INE170E01023,2025-12-22,65.6183,64.6143,65.3002,79114
equity,INE170E01023,2025-12-23,67.4971,65.4493,66.8311,78359
equity,INE170E01023,2025-12-24,67.2685,65.6282,65.8569,45814
equity,INE170E01023,2025-12-26,66.3142,65.4294,65.5984,47690
equity,INE170E01023,2025-12-29,66.5826,64.6143,65.4493,69143
equity,INE170E01023,2025-12-30,65.9762,65.1213,65.6084,27587
equity,INE170E01023,2025-12-31,66.5925,65.1113,66.165,45958
equity,INE170E01023,2026-01-01,66.4931,65.6282,66.3241,33434
equity,INE170E01023,2026-01-02,67.0895,65.8072,66.6919,49822
equity,INE170E01023,2026-01-05,68.0836,66.1054,67.4772,74850
equity,INE170E01023,2026-01-06,67.6561,65.2207,66.3639,54582
equity,INE170E01023,2026-01-07,66.9007,64.6839,66.1551,39992
equity,INE170E01023,2026-01-08,66.1551,64.8728,65.678,61895
equity,INE170E01023,2026-01-09,65.6084,64.6143,64.664,36047
equity,INE170E01023,2026-01-12,66.6024,62.7057,65.9464,117137
equity,INE170E01023,2026-01-13,66.8012,65.5785,66.5229,53958
equity,INE170E01023,2026-01-14,68.183,65.6084,67.0796,63569
equity,INE170E01023,2026-01-15,67.0796,67.0796,67.0796,
equity,INE170E01023,2026-01-16,66.7714,65.2207,65.4891,46543
equity,INE170E01023,2026-01-19,65.4692,63.6202,64.2366,71867
equity,INE170E01023,2026-01-20,64.6242,62.7256,63.1729,73899
equity,INE170E01023,2026-01-21,63.0735,61.2047,61.483,75775
equity,INE170E01023,2026-01-22,64.167,61.1351,64.0278,85050
equity,INE170E01023,2026-01-23,64.4055,58.5604,59.306,233607
equity,INE170E01023,2026-01-27,60.141,58.3119,59.0774,63971
equity,INE170E01023,2026-01-28,61.155,58.7891,60.7772,58120
equity,INE170E01023,2026-01-29,60.9661,58.0535,58.809,176448
equity,INE170E01023,2026-01-30,60.2504,57.6558,59.634,328559
equity,INE170E01023,2026-02-02,60.638,58.6499,59.803,101095
equity,INE170E01023,2026-02-03,61.4631,59.4551,59.6937,153661
equity,INE170E01023,2026-02-04,63.153,59.3656,62.3876,156879
equity,INE170E01023,2026-02-05,63.9185,60.9363,61.8508,95426
equity,INE170E01023,2026-02-06,62.1788,59.9621,60.8667,71138
equity,INE170E01023,2026-02-09,62.994,61.155,62.3081,67352
equity,INE170E01023,2026-02-10,64.0874,62.1888,62.6958,70660
equity,INE170E01023,2026-02-11,65.7674,62.0297,64.4254,111901
equity,INE170E01023,2026-02-12,67.9941,63.6202,65.7972,294157
equity,INE170E01023,2026-02-13,69.3958,64.8131,66.9305,244438
equity,INE170E01023,2026-02-16,70.4793,66.7018,67.3579,154270
