Internet & Catalogue Retail	2026-09-04	9	146.8021	-0.1174	149.8756	106.7399	-2.0507	37.5326	146.8253	148.1421	146.0789	141.7687	131.3163	129.8255	46.61	{"3":false,"8":false,"30":true,"50":true,"100":true,"200":true}	{"3":false,"8":true,"30":true,"100":true}	{"3":{"streak":4,"capped":false},"8":{"streak":6,"capped":false},"30":{"streak":65,"capped":false},"50":{"streak":65,"capped":false},"100":{"streak":61,"capped":false},"200":{"streak":48,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":61,"capped":false},"30":{"streak":57,"capped":false},"100":{"streak":6,"capped":false}}	59	red	2	false	\N	0.2127	true	true	25	9.1995
Exploration & Production	2026-09-04	8	563.3009	0.6706	563.3009	398.5062	0	41.3531	556.7984	538.7862	514.81	505.7307	499.7261	466.3276	78.07	{"3":true,"8":true,"30":true,"50":true,"100":true,"200":true}	{"3":true,"8":true,"30":true,"100":true}	{"3":{"streak":4,"capped":false},"8":{"streak":4,"capped":false},"30":{"streak":20,"capped":false},"50":{"streak":20,"capped":false},"100":{"streak":27,"capped":false},"200":{"streak":111,"capped":false}}	{"3":{"streak":3,"capped":false},"8":{"streak":22,"capped":false},"30":{"streak":143,"capped":false},"100":{"streak":90,"capped":false}}	71	amber	4	false	\N	1.8435	true	true	123	8.4497
Packaged Foods	2026-09-04	29	345.4669	-0.3552	347.783	251.259	-0.666	37.4943	345.8134	345.9403	333.867	329.1013	312.1366	296.4214	83.86	{"3":false,"8":false,"30":true,"50":true,"100":true,"200":true}	{"3":false,"8":true,"30":true,"100":true}	{"3":{"streak":1,"capped":false},"8":{"streak":1,"capped":false},"30":{"streak":69,"capped":false},"50":{"streak":107,"capped":false},"100":{"streak":103,"capped":false},"200":{"streak":79,"capped":false}}	{"3":{"streak":1,"capped":false},"8":{"streak":67,"capped":false},"30":{"streak":85,"capped":false},"100":{"streak":40,"capped":false}}	70	amber	20	false	\N	1.5999	true	true	65	11.0248
Coal & Mining	2026-09-04	14	719.5503	0.0353	772.8193	586.0258	-6.8928	22.7848	718.4351	726.3725	731.6801	730.9364	732.7805	696.5159	38.15	{"3":true,"8":false,"30":false,"50":false,"100":false,"200":true}	{"3":false,"8":false,"30":false,"100":true}	{"3":{"streak":2,"capped":false},"8":{"streak":7,"capped":false},"30":{"streak":5,"capped":false},"50":{"streak":5,"capped":false},"100":{"streak":5,"capped":false},"200":{"streak":111,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":3,"capped":false},"30":{"streak":4,"capped":false},"100":{"streak":751,"capped":true}}	41	red	21	false	\N	1.2083	true	true	340	4.9418
Other Non-Ferrous Metals	2026-09-04	6	1306.5603	0.2911	1678.7424	1230.293	-22.1703	6.1991	1309.5982	1340.5517	1383.8166	1417.2702	1460.0833	1430.7189	35.3	{"3":false,"8":false,"30":false,"50":false,"100":false,"200":false}	{"3":false,"8":false,"30":false,"100":true}	{"3":{"streak":5,"capped":false},"8":{"streak":5,"capped":false},"30":{"streak":24,"capped":false},"50":{"streak":24,"capped":false},"100":{"streak":24,"capped":false},"200":{"streak":24,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":30,"capped":false},"30":{"streak":21,"capped":false},"100":{"streak":261,"capped":false}}	9	red	52	false	\N	-0.303	false	false	7	-0.94
Department Stores	2026-09-04	10	657.2606	-0.0384	681.5203	461.1473	-3.5596	42.5273	656.769	665.5988	649.0198	641.1191	613.7533	578.1825	51.55	{"3":true,"8":false,"30":true,"50":true,"100":true,"200":true}	{"3":false,"8":true,"30":true,"100":true}	{"3":{"streak":1,"capped":false},"8":{"streak":7,"capped":false},"30":{"streak":25,"capped":false},"50":{"streak":28,"capped":false},"100":{"streak":101,"capped":false},"200":{"streak":76,"capped":false}}	{"3":{"streak":6,"capped":false},"8":{"streak":20,"capped":false},"30":{"streak":85,"capped":false},"100":{"streak":24,"capped":false}}	53	red	7	false	\N	0.5035	true	true	55	10.8852
Paints	2026-09-04	7	107.2162	0.4495	114.363	77.8697	-6.2492	37.6867	106.4111	106.5232	107.262	103.4572	99.5271	98.784	31.67	{"3":true,"8":true,"30":false,"50":true,"100":true,"200":true}	{"3":false,"8":false,"30":true,"100":true}	{"3":{"streak":2,"capped":false},"8":{"streak":2,"capped":false},"30":{"streak":4,"capped":false},"50":{"streak":35,"capped":false},"100":{"streak":78,"capped":false},"200":{"streak":31,"capped":false}}	{"3":{"streak":13,"capped":false},"8":{"streak":3,"capped":false},"30":{"streak":71,"capped":false},"100":{"streak":4,"capped":false}}	43	red	152	false	\N	-0.1068	false	true	22	4.7307
Aluminium and Aluminium Products	2026-09-04	11	710.1397	-0.3537	761.5369	419.529	-6.7491	69.2707	709.0121	712.9093	693.3682	686.7414	702.2733	687.2797	64.98	{"3":true,"8":false,"30":true,"50":true,"100":true,"200":true}	{"3":false,"8":true,"30":false,"100":true}	{"3":{"streak":2,"capped":false},"8":{"streak":4,"capped":false},"30":{"streak":25,"capped":false},"50":{"streak":15,"capped":false},"100":{"streak":11,"capped":false},"200":{"streak":26,"capped":false}}	{"3":{"streak":3,"capped":false},"8":{"streak":21,"capped":false},"30":{"streak":54,"capped":false},"100":{"streak":297,"capped":false}}	65	amber	35	false	\N	2.2541	true	false	2	-0.0783
Green & Renewable Energy	2026-09-04	14	763.8257	0.9677	915.5783	637.5773	-16.5745	19.8013	756.0483	758.8812	781.9968	803.1659	821.8866	781.271	47.89	{"3":true,"8":true,"30":false,"50":false,"100":false,"200":false}	{"3":false,"8":false,"30":false,"100":true}	{"3":{"streak":2,"capped":false},"8":{"streak":1,"capped":false},"30":{"streak":40,"capped":false},"50":{"streak":44,"capped":false},"100":{"streak":23,"capped":false},"200":{"streak":18,"capped":false}}	{"3":{"streak":6,"capped":false},"8":{"streak":40,"capped":false},"30":{"streak":15,"capped":false},"100":{"streak":31,"capped":false}}	15	red	60	false	\N	-1.4338	false	true	67	2.8025
Oil Marketing & Distribution	2026-09-04	9	282.5576	-0.1098	284.8459	187.0233	-0.8033	51.0815	281.4673	280.6647	278.6162	274.7016	256.8607	234.1089	60.31	{"3":true,"8":true,"30":true,"50":true,"100":true,"200":true}	{"3":true,"8":true,"30":true,"100":true}	{"3":{"streak":2,"capped":false},"8":{"streak":2,"capped":false},"30":{"streak":76,"capped":false},"50":{"streak":111,"capped":false},"100":{"streak":108,"capped":false},"200":{"streak":103,"capped":false}}	{"3":{"streak":1,"capped":false},"8":{"streak":73,"capped":false},"30":{"streak":93,"capped":false},"100":{"streak":49,"capped":false}}	78	amber	8	false	\N	2.1065	true	true	71	17.3392
